"","IDCNTRY","booklet_id","IDSCHOOL","IDCLASS","person_id","ITSEX","dum.fr","dum.eng","dum.hk","dum.kor","dum.qat","dum.nor","dum.twn","ME52024","ME52058A","ME52058B","ME52125","ME52229","ME52063","ME52072","ME52146A","ME52146B","ME52092","ME52046","ME52083","ME52082","ME52161","ME52418A","ME52418B","ME72007","ME72025","ME72017","ME72190","ME72068","ME72076","ME72056","ME72098","ME72103","ME72121","ME72180","ME72198","ME72227","ME72170","ME72209","ME52024t","ME52058At","ME52058Bt","ME52125t","ME52229t","ME52063t","ME52072t","ME52146At","ME52146Bt","ME52092t","ME52046t","ME52083t","ME52082t","ME52161t","ME52418At","ME52418Bt","ME72007t","ME72025t","ME72017t","ME72190t","ME72068t","ME72076t","ME72056t","ME72098t","ME72103t","ME72121t","ME72180t","ME72198t","ME72227t","ME72170t","ME72209t"
"956","KOR","Booklet 01","5134","513404","51340409","Male",0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,2,0,1,1,1,1,1,1,1,1,0,1,1,1,0,88.273,49.512,49.512,26.731,25.716,6.809,6.857,73.83,73.83,7.553,11.232,44.719,12.778,38.408,133.551,133.551,43.567,24.68,71,24.76,15.487,12,30.096,49.409,75.944,30.712,16,68.911,33.489,28.048,116.239
"957","KOR","Booklet 01","5134","513404","51340425","Female",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,42.674,54.984,54.984,80.663,20.32,9.76,5.368,79.296,79.296,15.088,24.305,27.096,19.327,13.128,47.208,47.208,41.688,16.776,44.256,33.935,20.216,15.912,42.569,53.032,90.12,20.968,25.272,31.607,18.302,23.651,78.047
"958","KOR","Booklet 01","5135","513504","51350404","Female",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,57.95,64.381,64.381,33.264,12.768,51.327,9.904,100.384,100.384,14.088,40.432,28.664,13.593,26.047,77.723,77.723,25.677,16.448,22.816,41.712,7.712,9.36,20.039,42.273,51.472,16.592,38.32,111.912,39.039,45.353,54.712
"959","KOR","Booklet 01","5135","513504","51350420","Female",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42.252,60.522,60.522,36.464,11.793,15.768,3.782,68.032,68.032,2.28,2.336,2.457,3.673,2.855,8.352,8.352,6.224,3.648,4.968,5.767,2.376,1.992,4.592,7.041,40.008,3.592,5.871,12.249,4.345,21.055,13.017
"960","KOR","Booklet 01","5136","513605","51360513","Female",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,1,1,0,0,0,1,0,36.979,80.327,80.327,6.845,15.257,14.674,5.609,104.513,104.513,26.198,24.389,35.471,37.6,23.399,68.208,68.208,22.619,8.192,32.011,23.63,47.623,9.038,65.472,73.855,113.61,41.521,31.207,103.373,63.176,34.075,77.353
"961","KOR","Booklet 01","5137","513702","51370206","Female",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,57.038,98.898,98.898,28.738,11.534,16.882,19.447,146.145,146.145,44.994,38.666,66.073,18.253,27.995,95.02,95.02,35.133,45.017,29.16,88.837,70.144,26.74,29.712,81.587,32.998,50.616,40.637,48.373,64.555,32.438,295.633
"962","KOR","Booklet 01","5138","513805","51380513","Female",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,91.088,290.156,290.156,100.681,66.016,19.719,13.09,150.361,150.361,25.273,49.182,231.347,60.864,75.817,257.177,257.177,66.18,38.169,83.272,82.072,49.961,27.892,76.571,47.787,55.741,25.968,68.96,101.152,90.888,52.992,313.417
"963","KOR","Booklet 01","5138","513805","51380529","Female",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,35.812,145.317,145.317,30.592,16.048,11.946,11.242,463.156,463.156,62.439,39.774,17.793,34.206,38.712,167.905,167.905,21.421,15.808,91.682,37.879,18.782,12.721,26.809,57.287,250.761,13.596,39.144,36.095,28.72,15.043,211.348
"964","KOR","Booklet 01","5140","514002","51400208","Male",0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,38.932,51.095,51.095,24.881,14.887,23.417,26.807,63.84,63.84,14.16,23.288,8.867,26.999,30.816,73.081,73.081,15.367,13.104,191.064,97.128,43.345,8.647,21.752,51.464,25.384,29.576,37.041,28.551,110.656,48.905,69.511
"965","KOR","Booklet 01","5141","514108","51410816","Female",0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,124.677,171.451,171.451,43.2,22.888,78.34,29.423,201.261,201.261,85.266,63.577,76.48,71.38,47.439,107.322,107.322,80.647,53.744,246.995,71.418,27.481,48.561,97.313,126.316,47.155,94.439,59.548,58.917,37.921,43.322,182.548
"966","KOR","Booklet 01","5141","514108","51410832","Male",0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,80.731,79.981,79.981,35.093,17.12,10.288,10.192,261.465,261.465,22.46,96.892,78.036,39.428,37.488,246.81,246.81,30.95,47.744,58.449,30.751,31.705,12.407,61.329,83.067,46.66,26.257,30.574,76.379,77.578,25.044,143.664
"967","KOR","Booklet 01","5142","514203","51420302","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,49.929,117.111,117.111,84.732,34.198,41.441,78.968,118.769,118.769,52.031,59.389,96.142,32.187,71.752,98.697,98.697,101.247,89.215,216.72,45.274,66.817,101.607,105.104,100.72,53.79,40.647,87.198,66.32,48.401,28.684,331.371
"968","KOR","Booklet 01","5142","514203","51420318","Female",0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,52.838,68.008,68.008,84.424,20.672,48.512,17.976,90.096,90.096,28.176,32.736,54.672,40.608,31.232,96.888,96.888,33.897,28.2,94.68,19.616,31.48,22.264,51.584,74.064,29.514,23.068,36.488,91.508,45.704,82.787,148.914
"969","KOR","Booklet 01","5143","514303","51430303","Female",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,62.052,339.648,339.648,29.236,32.487,20.707,17.666,424.59,424.59,53.955,88.836,37.411,75.096,26.261,220.974,220.974,41.693,51.317,136.54,23.963,41.665,48.034,63.673,95.575,77.753,51.703,47.668,77.316,84.012,94.75,256.77
"970","KOR","Booklet 01","5143","514303","51430319","Male",0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,0,1,1,0,0,1,1,0,0,0,1,1,124.847,203.338,203.338,52.297,49.698,33.368,17.853,143.945,143.945,37.639,84.284,261.373,18.076,21.848,264.469,264.469,36.45,56.712,116.941,78.219,33.916,61.2,57.041,81.321,98.209,50.452,59.249,222.93,57.771,40.594,174.981
"971","KOR","Booklet 01","5145","514505","51450514","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,45.336,145.154,145.154,23.927,16.689,36.718,7.748,188.751,188.751,51.762,46.708,33.873,19.906,48.295,110.979,110.979,90.796,86.415,158.557,33.755,46.262,14.932,41.95,53.198,75.479,14.255,33.023,54.864,28.604,63.557,170.962
"972","KOR","Booklet 01","5147","514705","51470510","Male",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,77.979,102.471,102.471,47.664,22.288,74.447,59.192,128.975,128.975,14.855,54.008,59.32,40.992,21.119,121.447,121.447,63.416,62.607,184.416,26.143,13.28,76.687,44.168,97.2,57.197,17.584,61.784,182.552,137.695,45.872,97.776
"973","KOR","Booklet 01","5147","514705","51470526","Female",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71.783,72.591,72.591,30.064,35.392,9.055,9.864,98.025,98.025,33.423,22.263,34.279,15.448,23.864,124.047,124.047,39.336,35.68,50.048,22.5,14.432,9.129,27.624,40.928,34.064,18.376,60.413,55.365,35.305,21.679,252.069
"974","KOR","Booklet 01","5148","514807","51480706","Female",0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,44.52,92.22,92.22,66.264,17.657,13.563,8.805,180.033,180.033,58.057,66.427,26.643,57.206,24.39,176.423,176.423,53.449,27.881,98.034,28.231,21.283,27.031,34.757,92.177,39.848,54.639,46.176,63.774,80.535,19.073,70.529
"975","KOR","Booklet 01","5148","514807","51480722","Female",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,66.708,64.695,64.695,32.201,18.506,35.774,13.313,136.163,136.163,43.755,121.6,0.083,38.349,29.371,267.887,267.887,106.624,0.094,0.088,30.619,37.346,45.476,65.449,90.138,155.023,36.889,62.065,61.839,39.88,66.806,76.491
